No.,Best value,Best solution,Runtime
1,17,"[1, 2, 0, 2]",0.0012060999997629551
2,33,"[1, 0, 1, 2, 2, 1]",0.009012000000439002
3,35,"[1, 2, 1, 0, 0, 1]",0.00731400000040594
4,35,"[1, 2, 2, 2, 1, 1]",0.00959109999894281
5,37,"[1, 1, 1, 2, 1]",0.004927699999825563
6,62,"[1, 1, 1, 2, 2, 2, 3, 1, 3, 3, 1]",67.65907770000013
7,74,"[1, 0, 1, 1, 2, 2, 3, 0, 3, 0, 3, 1]",53.648830300000554
8,23,"[2, 1, 3, 1, 3, 2, 1]",0.34978550000050745
9,44,"[2, 0, 1, 0, 2, 3, 3, 1, 2, 0, 1]",15.179700699998648
10,68,"[1, 2, 1, 1, 0, 2, 2, 3, 3, 3, 1]",32.317743800000244
