No.,Best value,Best solution,Runtime
1,17,"[1, 2, 0, 2]",0.023794000000634696
2,33,"[2, 0, 2, 1, 1, 2]",0.040242399998533074
3,35,"[2, 1, 2, 0, 0, 1]",0.042959300000802614
4,35,"[1, 2, 2, 2, 1, 1]",0.005761400003393646
5,37,"[2, 1, 2, 1, 1]",0.00010680000559659675
6,62,"[1, 3, 3, 2, 3, 1, 2, 1, 1, 2, 2]",0.0016976000042632222
7,74,"[1, 0, 2, 1, 2, 1, 1, 0, 3, 0, 1, 3]",0.10704980000446085
8,23,"[1, 2, 3, 1, 3, 2, 2]",0.012157899996964261
9,42,"[3, 3, 3, 0, 2, 1, 2, 1, 0, 0, 2]",0.09325719999469584
10,68,"[2, 3, 1, 1, 0, 2, 1, 2, 3, 3, 1]",0.0956235999983619
11,100,"[1, 4, 1, 4, 3, 3, 3, 1, 2, 2, 1, 3, 4, 4, 2]",0.040919099999882746
12,106,"[3, 3, 1, 4, 2, 4, 1, 2, 4, 3, 3, 1, 2, 1, 2, 4]",0.1147865999955684
13,70,"[1, 1, 4, 3, 3, 1, 2, 4, 1, 3, 4, 2]",0.023566100004245527
14,84,"[4, 2, 1, 4, 4, 1, 2, 3, 3, 3, 1, 2, 4, 3, 3]",0.0005266000007395633
15,76,"[3, 1, 3, 1, 4, 3, 2, 2, 4, 1, 2, 4, 2, 1]",0.0060728000025846995
16,0,NaN,NaN
17,156,"[0, 5, 2, 3, 1, 4, 1, 3, 1, 1, 4, 1, 1, 3, 2, 4, 4, 5, 2, 5, 1, 5, 0, 2, 2, 3, 3, 3, 5]",0.48891050000383984
18,0,NaN,NaN
19,118,"[5, 5, 1, 1, 2, 5, 4, 3, 0, 3, 3, 4, 3, 1, 2, 4, 2, 1, 4, 5, 2]",0.27290979999816045
20,118,"[4, 5, 0, 2, 2, 2, 5, 0, 4, 0, 5, 1, 3, 5, 1, 5, 0, 4, 1, 3, 0, 3, 0, 3]",0.34697910000249976
21,0,NaN,NaN
22,0,NaN,NaN
23,0,NaN,NaN
24,365,"[6, 8, 2, 4, 9, 9, 3, 2, 3, 3, 4, 5, 6, 7, 3, 4, 1, 5, 5, 7, 8, 6, 1, 4, 6, 3, 0, 2, 1, 8, 8, 8, 9, 1, 1, 6, 7, 0, 1, 2, 1, 9, 0, 9, 3, 0, 4, 0, 2, 8, 9, 7, 7, 3, 5, 0, 4, 8, 5, 7, 6, 1, 9, 5, 4, 1, 8, 9, 4, 7, 7, 3, 6, 0, 9, 6]",3.3455622000037692
25,0,NaN,NaN
26,0,NaN,NaN
27,0,NaN,NaN
28,0,NaN,NaN
29,0,NaN,NaN
30,0,NaN,NaN
31,0,NaN,NaN
32,0,NaN,NaN
33,0,NaN,NaN
34,0,NaN,NaN
35,0,NaN,NaN
36,0,NaN,NaN
