No.,Best value,Best solution,Runtime
1,10,"[0, 2, 1, 2]",7.409999989249627e-05
2,32,"[0, 1, 0, 2, 2, 1]",9.450000015931437e-05
3,0,NaN,NaN
4,26,"[1, 1, 2, 1, 0, 2]",0.0001019000001178938
5,0,NaN,NaN
6,0,NaN,NaN
7,0,NaN,NaN
8,0,NaN,NaN
9,0,NaN,NaN
10,58,"[0, 1, 3, 2, 0, 3, 2, 2, 3, 1, 2]",0.00022260000014284742
11,0,NaN,NaN
12,0,NaN,NaN
13,0,NaN,NaN
14,0,NaN,NaN
15,0,NaN,NaN
16,0,NaN,NaN
17,0,NaN,NaN
18,0,NaN,NaN
19,0,NaN,NaN
20,0,NaN,NaN
21,0,NaN,NaN
22,0,NaN,NaN
23,30,"[0, 0, 1, 2, 1, 1]",0.00014550000014423858
24,0,NaN,NaN
25,37,"[0, 0, 0, 0, 0]",4.3200000163778896e-05
26,62,"[1, 2, 2, 2, 1, 3, 3, 3, 2, 1, 1]",0.0002223999999841908
27,0,NaN,NaN
28,0,NaN,NaN
29,0,NaN,NaN
30,0,NaN,NaN
31,0,NaN,NaN
32,0,NaN,NaN
33,0,NaN,NaN
34,0,NaN,NaN
35,0,NaN,NaN
36,0,NaN,NaN
37,0,NaN,NaN
38,0,NaN,NaN
39,0,NaN,NaN
40,0,NaN,NaN
41,17,"[1, 2, 0, 2]",5.999999984851456e-05
42,0,NaN,NaN
43,0,NaN,NaN
44,0,NaN,NaN
45,0,NaN,NaN
46,0,NaN,NaN
47,0,NaN,NaN
48,0,NaN,NaN
49,0,NaN,NaN
50,0,NaN,NaN
51,0,NaN,NaN
52,0,NaN,NaN
53,0,NaN,NaN
54,0,NaN,NaN
55,0,NaN,NaN
56,0,NaN,NaN
57,0,NaN,NaN
58,0,NaN,NaN
59,0,NaN,NaN
60,0,NaN,NaN
61,0,NaN,NaN
62,0,NaN,NaN
63,0,NaN,NaN
64,33,"[2, 2, 2, 0, 1, 1]",9.550000004310277e-05
65,0,NaN,NaN
66,0,NaN,NaN
67,0,NaN,NaN
68,0,NaN,NaN
69,0,NaN,NaN
70,0,NaN,NaN
71,0,NaN,NaN
72,0,NaN,NaN
73,0,NaN,NaN
74,0,NaN,NaN
75,0,NaN,NaN
76,0,NaN,NaN
77,0,NaN,NaN
78,0,NaN,NaN
79,0,NaN,NaN
80,0,NaN,NaN
81,17,"[1, 2, 0, 2]",5.959999998594867e-05
82,27,"[2, 0, 1, 1, 2, 0]",8.899999966160976e-05
83,0,NaN,NaN
84,31,"[0, 1, 1, 1, 2, 2]",0.000146500000028027
85,0,NaN,NaN
86,0,NaN,NaN
87,0,NaN,NaN
88,0,NaN,NaN
89,0,NaN,NaN
90,0,NaN,NaN
91,0,NaN,NaN
92,0,NaN,NaN
93,0,NaN,NaN
94,0,NaN,NaN
95,0,NaN,NaN
96,0,NaN,NaN
97,0,NaN,NaN
98,0,NaN,NaN
99,0,NaN,NaN
100,0,NaN,NaN
101,17,"[1, 2, 0, 2]",6.400000029316288e-05
102,0,NaN,NaN
103,0,NaN,NaN
104,30,"[0, 0, 0, 0, 0, 0]",5.3499999921768904e-05
105,37,"[0, 0, 0, 0, 0]",4.0500000068277586e-05
106,0,NaN,NaN
107,0,NaN,NaN
108,0,NaN,NaN
109,0,NaN,NaN
110,0,NaN,NaN
111,0,NaN,NaN
112,0,NaN,NaN
113,0,NaN,NaN
114,0,NaN,NaN
115,0,NaN,NaN
116,0,NaN,NaN
117,0,NaN,NaN
118,0,NaN,NaN
119,0,NaN,NaN
120,0,NaN,NaN
121,17,"[1, 2, 0, 2]",6.17999999121821e-05
122,0,NaN,NaN
123,0,NaN,NaN
124,24,"[1, 1, 1, 0, 0, 2]",0.00018659999977899133
125,37,"[1, 1, 1, 2, 1]",0.00015619999976479448
126,0,NaN,NaN
127,0,NaN,NaN
128,0,NaN,NaN
129,0,NaN,NaN
130,0,NaN,NaN
131,0,NaN,NaN
132,0,NaN,NaN
133,0,NaN,NaN
134,0,NaN,NaN
135,0,NaN,NaN
136,0,NaN,NaN
137,0,NaN,NaN
138,0,NaN,NaN
139,0,NaN,NaN
140,0,NaN,NaN
141,0,NaN,NaN
142,33,"[1, 0, 1, 2, 2, 1]",8.969999998953426e-05
143,0,NaN,NaN
144,35,"[1, 2, 2, 2, 1, 1]",0.00015070000017658458
145,0,NaN,NaN
146,0,NaN,NaN
147,0,NaN,NaN
148,0,NaN,NaN
149,0,NaN,NaN
150,62,"[1, 3, 2, 1, 0, 1, 1, 3, 2, 0, 2]",0.00033239999993384117
151,0,NaN,NaN
152,0,NaN,NaN
153,0,NaN,NaN
154,0,NaN,NaN
155,0,NaN,NaN
156,0,NaN,NaN
157,0,NaN,NaN
158,0,NaN,NaN
159,0,NaN,NaN
160,0,NaN,NaN
161,0,NaN,NaN
162,28,"[2, 1, 0, 0, 1, 2]",0.00013910000006944756
163,0,NaN,NaN
164,30,"[1, 0, 1, 1, 1, 2]",0.00014700000019729487
165,0,NaN,NaN
166,0,NaN,NaN
167,0,NaN,NaN
168,0,NaN,NaN
169,0,NaN,NaN
170,59,"[3, 3, 1, 1, 0, 2, 2, 0, 1, 1, 2]",0.00021740000011050142
171,0,NaN,NaN
172,0,NaN,NaN
173,0,NaN,NaN
174,0,NaN,NaN
175,0,NaN,NaN
176,0,NaN,NaN
177,136,"[2, 3, 0, 0, 5, 1, 1, 0, 1, 4, 3, 2, 5, 1, 4, 2, 1, 2, 5, 2, 1, 5, 3, 1, 0, 4, 3, 5, 5]",0.0011337000000821718
178,0,NaN,NaN
179,0,NaN,NaN
180,0,NaN,NaN
181,17,"[1, 2, 0, 2]",5.989999999655993e-05
182,0,NaN,NaN
183,35,"[2, 1, 1, 0, 0, 2]",9.669999963080045e-05
184,0,NaN,NaN
185,0,NaN,NaN
186,0,NaN,NaN
187,0,NaN,NaN
188,0,NaN,NaN
189,0,NaN,NaN
190,0,NaN,NaN
191,0,NaN,NaN
192,0,NaN,NaN
193,0,NaN,NaN
194,0,NaN,NaN
195,0,NaN,NaN
196,0,NaN,NaN
197,0,NaN,NaN
198,0,NaN,NaN
199,0,NaN,NaN
200,0,NaN,NaN
